ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
Q9NSA0,Solute carrier family 22 member 11,SLC22A11,7707622,AB026116,Q9NSA0,S22AB_HUMAN,,SLC22A11,SLC22A11,HGNC:18120,Human,DB01032
P29972,Aquaporin-1,AQP1,180501,M77829,P29972,AQP1_HUMAN,,AQP1,AQP1,HGNC:633,Human,DB00819
Q9UKV0,Histone deacetylase 9,HDAC9,15590680,AY032737,Q9UKV0,HDAC9_HUMAN,,HDAC9,HDAC9,HGNC:14065,Human,DB00313
P22102,Trifunctional purine biosynthetic protein adenosine-3,GART,31642,X54199,P22102,PUR2_HUMAN,,GART,GART,HGNC:4163,Human,DB00642; DB02236; DB03546
P43004,Excitatory amino acid transporter 2,SLC1A2,487341,U03505,P43004,EAA2_HUMAN,,SLC1A2,SLC1A2,HGNC:10940,Human,DB00142
Q99584,Protein S100-A13,S100A13,1694828,X99920,Q99584,S10AD_HUMAN,,S100A13,S100A13,HGNC:10490,Human,DB00768; DB01025
Q06520,Bile salt sulfotransferase,SULT2A1,306702,L20000,Q06520,ST2A1_HUMAN,,SULT2A1,SULT2A1,HGNC:11458,Human,DB01708; DB01812; DB02854; DB04445
P16410,Cytotoxic T-lymphocyte protein 4,CTLA4,17646228,AF411058,P16410,CTLA4_HUMAN,,CTLA4,CTLA4,HGNC:2505,Human,DB06186
O60427,Fatty acid desaturase 1,FADS1,3169158,AC004770,O60427,FADS1_HUMAN,,DKFZp762M2311,DKFZp762M2311,HGNC:3574,Human,DB00132; DB00159
P19440,Gamma-glutamyltranspeptidase 1,GGT1,183138,J04131,P19440,GGT1_HUMAN,,GGT1,GGT1,HGNC:4250,Human,DB00143
Q00535,Cyclin-dependent kinase 5,CDK5,36621,X66364,Q00535,CDK5_HUMAN,,CDK5,CDK5,HGNC:1774,Human,DB02052; DB02116; DB02950; DB03428; DB03496; DB04014; DB07364
P51692,Signal transducer and activator of transcription 5B,STAT5B,6981726,U48730,P51692,STA5B_HUMAN,,STAT5B,STAT5B,HGNC:11367,Human,DB01254
P26358,DNA (cytosine-5)-methyltransferase 1,DNMT1,1632819,X63692,P26358,DNMT1_HUMAN,,DNMT1,DNMT1,HGNC:2976,Human,DB00928; DB01035; DB01099; DB01262
P00749,Urokinase-type plasminogen activator,PLAU,1834524,X02419,P00749,UROK_HUMAN,,PLAU,PLAU,HGNC:9052,Human,DB00013; DB00594; DB01905; DB01977; DB02193; DB02398; DB02473; DB02526; DB02551; DB02705; DB03046; DB03082; DB03127; DB03136; DB03159; DB03476; DB03729; DB03782; DB03865; DB03876; DB04059; DB04172; DB05254; DB06854; DB06855; DB06856; DB06857; DB07076; DB07122; DB07129; DB07625; DB07626; DB08072; DB08697
P10696,"Alkaline phosphatase, placental-like",ALPPL2,178428,J03252,P10696,PPBN_HUMAN,,ALPPL2,ALPPL2,HGNC:441,Human,DB00848; DB01143
O43526,Potassium voltage-gated channel subfamily KQT member 2,KCNQ2,1841342,D82346,O43526,KCNQ2_HUMAN,,KCNQ2,KCNQ2,HGNC:6296,Human,DB00321; DB00586; DB00939; DB04953; DB06089
P22557,"5-aminolevulinate synthase, erythroid-specific, mitochondrial",ALAS2,28586,X56352,P22557,HEM0_HUMAN,,ALAS2,ALAS2,HGNC:397,Human,DB00145
P49747,Cartilage oligomeric matrix protein,COMP,602450,L32137,P49747,COMP_HUMAN,,COMP,COMP,HGNC:2227,Human,DB01373
O95237,Lecithin retinol acyltransferase,LRAT,4240391,AF071510,O95237,LRAT_HUMAN,,LRAT,LRAT,HGNC:6685,Human,DB00162
O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,31322,X16863,O75015,FCG3B_HUMAN,,FCGR3B,FCGR3B,HGNC:3620,Human,DB00002; DB00005; DB00028; DB00051; DB00054; DB00056; DB00072; DB00073; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00111; DB00112
P20810,Calpastatin,CAST,303599,D16217,P20810,ICAL_HUMAN,,CAST,CAST,HGNC:1515,Human,DB01373
P35558,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP]",PCK1,189945,L05144,P35558,PCKGC_HUMAN,,PCK1,PCK1,HGNC:8724,Human,DB01819; DB02008; DB03267; DB03725
P30044,"Peroxiredoxin-5, mitochondrial",PRDX5,6523289,AJ249483,P30044,PRDX5_HUMAN,,PRDX5,PRDX5,HGNC:9355,Human,DB00995; DB03608; DB03793
P12724,Eosinophil cationic protein,RNASE3,31077,X15161,P12724,ECP_HUMAN,,RNASE3,RNASE3,HGNC:10046,Human,DB01411; DB02098; DB04272
P35270,Sepiapterin reductase,SPR,338021,M76231,P35270,SPRE_HUMAN,,SPR,SPR,HGNC:11257,Human,DB02637; DB03461; DB03886; DB04275
P01023,Alpha-2-macroglobulin,A2M,177870,M11313,P01023,A2MG_HUMAN,,A2M,A2M,HGNC:7,Human,DB00102; DB00626; DB08888
P51681,C-C chemokine receptor type 5,CCR5,1262811,X91492,P51681,CCR5_HUMAN,,CCR5,CCR5,HGNC:1606,Human,DB04835; DB05062; DB05501
P05451,Lithostathine-1-alpha,REG1A,623413,M27190,P05451,REG1A_HUMAN,,REG1A,REG1A,HGNC:9951,Human,DB03721; DB04522
Q99519,Sialidase-1,NEU1,2773339,AF040958,Q99519,NEUR1_HUMAN,,NEU1,NEU1,HGNC:7758,Human,DB00198
P08581,Hepatocyte growth factor receptor,MET,307196,J02958,P08581,MET_HUMAN,,MET,MET,HGNC:7029,Human,DB02152; DB05153; DB05216; DB06896; DB06995; DB06997; DB07369; DB07969; DB08584; DB08700; DB08791; DB08865; DB08875
P11217,"Glycogen phosphorylase, muscle form",PYGM,190784,M32598,P11217,PYGM_HUMAN,,PYGM,PYGM,HGNC:9726,Human,DB00114; DB01823; DB01843; DB02007; DB02320; DB02348; DB02379; DB02447; DB02471; DB02519; DB02604; DB02719; DB02720; DB02843; DB02964; DB03067; DB03133; DB03218; DB03250; DB03286; DB03354; DB03383; DB03392; DB03479; DB03496; DB03657; DB03835; DB04013; DB04044; DB04055; DB04083; DB04195; DB04295; DB04522; DB04544; DB04566; DB04642; DB04643; DB04644; DB04645; DB06986; DB07066; DB07792; DB07793; DB07807; DB07949; DB08151; DB08322; DB08500; DB08503
P62993,Growth factor receptor-bound protein 2,GRB2,181976,M96995,P62993,GRB2_HUMAN,,GRB2,GRB2,HGNC:4566,Human,DB00061; DB03276
P05231,Interleukin-6,IL6,32674,X04430,P05231,IL6_HUMAN,,IL6,IL6,HGNC:6018,Human,DB01404; DB05017; DB05066; DB05250; DB05470; DB05744; DB05767
P61073,C-X-C chemokine receptor type 4,CXCR4,189314,L01639,P61073,CXCR4_HUMAN,,CXCR4,CXCR4,HGNC:2561,Human,DB00452; DB05501; DB06809
P03956,Interstitial collagenase,MMP1,30126,X54925,P03956,MMP1_HUMAN,,MMP1,MMP1,HGNC:7155,Human,DB00786; DB07556; DB07926; DB08403; DB08482; DB08491
P28482,Mitogen-activated protein kinase 1,MAPK1,182191,M84489,P28482,MK01_HUMAN,,MAPK1,MAPK1,HGNC:6871,Human,DB01064; DB01169; DB02116; DB02482; DB02733; DB04338; DB06877; DB07010; DB07264; DB07788; DB07794; DB07905; DB08513; DB08521
P29274,Adenosine receptor A2a,ADORA2A,177892,M97370,P29274,AA2AR_HUMAN,,ADORA2A,ADORA2A,HGNC:263,Human,DB00201; DB00277; DB00358; DB00640; DB00651; DB00806; DB00824; DB01303; DB01412; DB04853; DB04932; DB05009; DB05191; DB06213; DB08770
P01574,Interferon beta,IFNB1,32638,V00534,P01574,IFNB_HUMAN,,IFNB1,IFNB1,HGNC:5434,Human,DB02379
P50225,Sulfotransferase 1A1,SULT1A1,179042,L10819,P50225,ST1A1_HUMAN,,SULT1A1,SULT1A1,HGNC:11453,Human,DB01812; DB04417
P25116,Proteinase-activated receptor 1,F2R,339677,M62424,P25116,PAR1_HUMAN,,F2R,F2R,HGNC:3537,Human,DB00086; DB05361; DB05692
P08174,Complement decay-accelerating factor,CD55,181468,M31516,P08174,DAF_HUMAN,,CD55,CD55,HGNC:2665,Human,DB00446
P27169,Serum paraoxonase/arylesterase 1,PON1,190192,M63012,P27169,PON1_HUMAN,,PON1,PON1,HGNC:9204,Human,DB01327
P52961,GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1,ART1,807100,S74683,P52961,NAR1_HUMAN,,ART1,ART1,HGNC:723,Human,DB01854
P02760,Protein AMBP,AMBP,825614,X54816,P02760,AMBP_HUMAN,,AMBP,AMBP,HGNC:453,Human,DB00062; DB00064
O75891,Cytosolic 10-formyltetrahydrofolate dehydrogenase,ALDH1L1,3560541,AF052732,O75891,AL1L1_HUMAN,,ALDH1L1,ALDH1L1,HGNC:3978,Human,DB00116
P02778,C-X-C motif chemokine 10,CXCL10,33918,X02530,P02778,CXL10_HUMAN,,CXCL10,CXCL10,HGNC:10637,Human,DB04487
Q9UKL6,Phosphatidylcholine transfer protein,PCTP,6049276,AF151638,Q9UKL6,PPCT_HUMAN,,PCTP,PCTP,HGNC:8752,Human,DB02306; DB04372
O60494,Cubilin,CUBN,3929529,AF034611,O60494,CUBN_HUMAN,,CUBN,CUBN,HGNC:2548,Human,DB00200
P00156,Cytochrome b,MT-CYB,13016,V00662,P00156,CYB_HUMAN,,MT-CYB,MT-CYB,HGNC:7427,Human,DB04141; DB04799; DB07401; DB07636; DB07763; DB07778; DB08330; DB08453; DB08690
P07858,Cathepsin B,CTSB,181192,M14221,P07858,CATB_HUMAN,,CTSB,CTSB,HGNC:2527,Human,DB02108; DB02148; DB02685; DB02855; DB03329; DB03588; DB04126; DB04579; DB07160; DB07219; DB07223; DB07224; DB07225; DB07231
P48067,Sodium- and chloride-dependent glycine transporter 1,SLC6A9,546769,S70609,P48067,SC6A9_HUMAN,,SLC6A9,SLC6A9,HGNC:11056,Human,DB00145
P07339,Cathepsin D,CTSD,181180,M11233,P07339,CATD_HUMAN,,CTSD,CTSD,HGNC:2529,Human,DB00030; DB00071; DB02216; DB03028; DB03096; DB07542; DB08740
P98164,Low-density lipoprotein receptor-related protein 2,LRP2,1809240,U33837,P98164,LRP2_HUMAN,,LRP2,LRP2,HGNC:6694,Human,DB00013; DB00030; DB00071; DB00798
P07225,Vitamin K-dependent protein S,PROS1,190289,M15036,P07225,PROS_HUMAN,,PROS1,PROS1,HGNC:9456,Human,DB00055; DB00170; DB00464
P01579,Interferon gamma,IFNG,32692,X13274,P01579,IFNG_HUMAN,,IFNG,IFNG,HGNC:5438,Human,DB01250; DB01296; DB05110; DB05111
P50406,5-hydroxytryptamine receptor 6,HTR6,1162924,L41147,P50406,5HT6R_HUMAN,,HTR6,HTR6,HGNC:5301,Human,DB00246; DB00321; DB00334; DB00363; DB00408; DB00458; DB00477; DB00540; DB00543; DB01142; DB01224; DB01238; DB01488; DB04946; DB05042; DB06144; DB06148; DB06216
P02775,Platelet basic protein,PPBP,181176,M54995,P02775,CXCL7_HUMAN,,PPBP,PPBP,HGNC:9240,Human,DB03635
P01189,Pro-opiomelanocortin,POMC,190188,M38297,P01189,COLI_HUMAN,,POMC,POMC,HGNC:9201,Human,DB00836; DB01497; DB01565
Q6W5P4,Neuropeptide S receptor,NPSR1,34596864,AY310326,Q6W5P4,NPSR1_HUMAN,,NPSR1,NPSR1,HGNC:23631,Human,DB01159
P20333,Tumor necrosis factor receptor superfamily member 1B,TNFRSF1B,189186,M32315,P20333,TNR1B_HUMAN,,TNFRSF1B,TNFRSF1B,HGNC:11917,Human,DB00005
P34913,Bifunctional epoxide hydrolase 2,EPHX2,181395,L05779,P34913,HYES_HUMAN,,EPHX2,EPHX2,HGNC:3402,Human,DB02029; DB03677; DB04213; DB08256; DB08257; DB08258; DB08259
P49888,Estrogen sulfotransferase,SULT1E1,488283,U08098,P49888,ST1E1_HUMAN,,SULT1E1,SULT1E1,HGNC:11377,Human,DB01176; DB01812; DB02902; DB03346
P01009,Alpha-1-antitrypsin,SERPINA1,177829,K01396,P01009,A1AT_HUMAN,,SERPINA1,SERPINA1,HGNC:8941,Human,DB01998; DB03345; DB05481
P01133,Pro-epidermal growth factor,EGF,31121,X04571,P01133,EGF_HUMAN,,EGF,EGF,HGNC:3229,Human,DB00364; DB04454; DB05007
P24158,Myeloblastin,PRTN3,187399,M75154,P24158,PRTN3_HUMAN,,PRTN3,PRTN3,HGNC:9495,Human,DB05161
P27986,Phosphatidylinositol 3-kinase regulatory subunit alpha,PIK3R1,"",M61906,P27986,P85A_HUMAN,,PIK3R1,PIK3R1,HGNC:8979,Human,DB01064; DB05210; DB08059
O75469,Nuclear receptor subfamily 1 group I member 2,NR1I2,3511138,AF061056,O75469,NR1I2_HUMAN,,NR1I2,NR1I2,HGNC:7968,Human,DB00163; DB00530; DB00783; DB00977; DB01045; DB01220; DB01229; DB01248; DB01708; DB01892; DB04466; DB07080; DB08864
P06730,Eukaryotic translation initiation factor 4E,EIF4E,306487,M15353,P06730,IF4E_HUMAN,,EIF4E,EIF4E,HGNC:3287,Human,DB01649; DB01960; DB02716; DB05165; DB08217
P16220,Cyclic AMP-responsive element-binding protein 1,CREB1,240429,S72459,P16220,CREB1_HUMAN,,CREB1,CREB1,HGNC:2345,Human,DB00131; DB01183
P49327,Fatty acid synthase,FASN,1049053,U26644,P49327,FAS_HUMAN,,FASN,FASN,HGNC:3594,Human,DB01034; DB01083
Q12882,Dihydropyrimidine dehydrogenase [NADP(+)],DPYD,558305,U09178,Q12882,DPYD_HUMAN,,DPYD,DPYD,HGNC:3012,Human,DB02303; DB02338; DB03048; DB03147; DB03247; DB03419; DB03516; DB03554
P10145,Interleukin-8,IL8,34519,Y00787,P10145,IL8_HUMAN,,IL8,IL8,HGNC:6025,Human,DB05434; DB05484; DB05855
Q04760,Lactoylglutathione lyase,GLO1,219664,D13315,Q04760,LGUL_HUMAN,,GLO1,GLO1,HGNC:4323,Human,DB00143; DB00328; DB03130; DB03330; DB03345; DB03602; DB04132; DB08179
Q9BZV2,Thiamine transporter 2,SLC19A3,12483888,AF271633,Q9BZV2,S19A3_HUMAN,,SLC19A3,SLC19A3,HGNC:16266,Human,DB00151
P52788,Spermine synthase,SMS,791051,Z49099,P52788,SPSY_HUMAN,,SMS,SMS,HGNC:11123,Human,DB00127
O95831,"Apoptosis-inducing factor 1, mitochondrial",AIFM1,4323587,AF100928,O95831,AIFM1_HUMAN,,AIFM1,AIFM1,HGNC:8768,Human,DB03147; DB05282
P45452,Collagenase 3,MMP13,516386,X75308,P45452,MMP13_HUMAN,,MMP13,MMP13,HGNC:7159,Human,DB00786; DB01996; DB02049; DB02071; DB02697; DB03033; DB04759; DB04760; DB04761; DB07013; DB07827; DB08388; DB08490; DB08561
P10646,Tissue factor pathway inhibitor,TFPI,180546,J03225,P10646,TFPI1_HUMAN,,TFPI,TFPI,HGNC:11760,Human,DB00036; DB06779
Q9Y5N1,Histamine H3 receptor,HRH3,5031291,AF140538,Q9Y5N1,HRH3_HUMAN,,HRH3,HRH3,HGNC:5184,Human,DB00370; DB00667; DB05080; DB06698
P05120,Plasminogen activator inhibitor 2,SERPINB2,189545,J02685,P05120,PAI2_HUMAN,,SERPINB2,SERPINB2,HGNC:8584,Human,DB00013; DB00031
P17936,Insulin-like growth factor-binding protein 3,IGFBP3,183116,M31159,P17936,IBP3_HUMAN,,IGFBP3,IGFBP3,HGNC:5472,Human,DB01277
P11387,DNA topoisomerase 1,TOP1,339806,J03250,P11387,TOP1_HUMAN,,TOP1,TOP1,HGNC:11986,Human,DB00762; DB01030; DB04690; DB04882; DB04967; DB05129; DB05482; DB05630; DB05806; DB06069; DB07354; DB08159
P17405,Sphingomyelin phosphodiesterase,SMPD1,179095,M59916,P17405,ASM_HUMAN,,SMPD1,SMPD1,HGNC:11120,Human,DB00381; DB00477; DB01151
Q14416,Metabotropic glutamate receptor 2,GRM2,999416,L35318,Q14416,GRM2_HUMAN,,GRM2,GRM2,HGNC:4594,Human,DB05096
P13501,C-C motif chemokine 5,CCL5,339421,M21121,P13501,CCL5_HUMAN,,CCL5,CCL5,HGNC:10632,Human,DB02322; DB02353
P35568,Insulin receptor substrate 1,IRS1,246466,S85963,P35568,IRS1_HUMAN,,IRS1,IRS1,HGNC:6125,Human,DB08513
P04062,Glucosylceramidase,GBA,183008,M16328,P04062,GLCM_HUMAN,,GBA,GBA,HGNC:4177,Human,DB03106; DB03740; DB06720; DB08283
P16860,Natriuretic peptides B,NPPB,179515,M31776,P16860,ANFB_HUMAN,,NPPB,NPPB,HGNC:7940,Human,DB01136
P29074,Tyrosine-protein phosphatase non-receptor type 4,PTPN4,190748,M68941,P29074,PTN4_HUMAN,,PTPN4,PTPN4,HGNC:9656,Human,DB00630
P29460,Interleukin-12 subunit beta,IL12B,180626,M65272,P29460,IL12B_HUMAN,,IL12B,IL12B,HGNC:5970,Human,DB02763; DB05459; DB05679; DB05848
Q9BYF1,Angiotensin-converting enzyme 2,ACE2,9802433,AF291820,Q9BYF1,ACE2_HUMAN,,ACE2,ACE2,HGNC:13557,Human,DB00691; DB00722; DB05203; DB05358
O14732,Inositol monophosphatase 2,IMPA2,2406666,AF014398,O14732,IMPA2_HUMAN,,IMPA2,IMPA2,HGNC:6051,Human,DB01356
P01137,Transforming growth factor beta-1,TGFB1,1212989,X05839,P01137,TGFB1_HUMAN,,TGFB1,TGFB1,HGNC:11766,Human,DB00070
P35222,Catenin beta-1,CTNNB1,860988,X87838,P35222,CTNB1_HUMAN,,CTNNB1,CTNNB1,HGNC:2514,Human,DB03904
P32418,Sodium/calcium exchanger 1,SLC8A1,180673,M91368,P32418,NAC1_HUMAN,,SLC8A1,SLC8A1,HGNC:11068,Human,DB00132; DB00159
P51580,Thiopurine S-methyltransferase,TPMT,386420,S62904,P51580,TPMT_HUMAN,,TPMT,TPMT,HGNC:12014,Human,DB01250
P56817,Beta-secretase 1,BACE1,6118539,AF190725,P56817,BACE1_HUMAN,,BACE1,BACE1,HGNC:933,Human,DB02378; DB06073; DB06930; DB07019; DB07089; DB07110; DB07175; DB07206; DB07245; DB07281; DB07284; DB07303; DB07345; DB07346; DB07415; DB07519; DB07535; DB07573; DB07734; DB07735; DB07736; DB07737; DB07738; DB07874; DB07993; DB07994; DB08749; DB08929
O14756,17-beta-hydroxysteroid dehydrogenase type 6,HSD17B6,2338748,AF016509,O14756,H17B6_HUMAN,,HSD17B6,HSD17B6,HGNC:23316,Human,DB00139
O14965,Aurora kinase A,AURKA,2641948,D84212,O14965,AURKA_HUMAN,,AURKA,AURKA,HGNC:11393,Human,DB02482; DB05169; DB05198; DB05220; DB07186; DB07266; DB07360; DB07361; DB07362; DB07545; DB07801; DB08065; DB08066
Q99497,Protein DJ-1,PARK7,30038760,D61380,Q99497,PARK7_HUMAN,,PARK7,PARK7,HGNC:16369,Human,DB01769
Q7L0J3,Synaptic vesicle glycoprotein 2A,SV2A,40788343,AB018279,Q7L0J3,SV2A_HUMAN,,SV2A,SV2A,HGNC:20566,Human,DB01202
P02788,Lactotransferrin,LTF,34416,X53961,P02788,TRFL_HUMAN,,LTF,LTF,HGNC:6720,Human,DB01811; DB03040; DB03485; DB04743; DB06987; DB08439
P21462,fMet-Leu-Phe receptor,FPR1,189184,M37128,P21462,FPR1_HUMAN,,FPR1,FPR1,HGNC:3826,Human,DB00716
O60488,Long-chain-fatty-acid--CoA ligase 4,ACSL4,3158351,AF030555,O60488,ACSL4_HUMAN,,ACSL4,ACSL4,HGNC:3571,Human,DB00159; DB00197; DB00412
P20594,Atrial natriuretic peptide receptor 2,NPR2,5139790,AB005647,P20594,ANPRB_HUMAN,,NPR2,NPR2,HGNC:7944,Human,DB01613; DB04899
P41250,Glycine--tRNA ligase,GARS,1311463,D30658,P41250,SYG_HUMAN,,GARS,GARS,HGNC:4162,Human,DB00145
Q9Y275,Tumor necrosis factor ligand superfamily member 13B,TNFSF13B,4761612,AF136293,Q9Y275,TN13B_HUMAN,,TNFSF13B,TNFSF13B,HGNC:11929,Human,DB03316; DB04272; DB08879
Q9Y2Q0,Probable phospholipid-transporting ATPase IA,ATP8A1,4972583,AF067820,Q9Y2Q0,AT8A1_HUMAN,,ATP8A1,ATP8A1,HGNC:13531,Human,DB00144
Q16853,Membrane primary amine oxidase,AOC3,1399032,U39447,Q16853,AOC3_HUMAN,,AOC3,AOC3,HGNC:550,Human,DB00780; DB01275; DB04334
Q00987,E3 ubiquitin-protein ligase Mdm2,MDM2,338309,M92424,Q00987,MDM2_HUMAN,,MDM2,MDM2,HGNC:6973,Human,DB02872; DB04144
P31930,"Cytochrome b-c1 complex subunit 1, mitochondrial",UQCRC1,515634,L16842,P31930,QCR1_HUMAN,,UQCRC1,UQCRC1,HGNC:12585,Human,DB04141; DB04741; DB04799; DB07401; DB07763; DB07778; DB08330; DB08453; DB08690
Q03181,Peroxisome proliferator-activated receptor delta,PPARD,190230,L07592,Q03181,PPARD_HUMAN,,PPARD,PPARD,HGNC:9235,Human,DB00159; DB00374; DB00605; DB01393; DB03338; DB04801; DB05187; DB05188; DB07070; DB07691; DB07724; DB08078
P47929,Galectin-7,LGALS7,182132,L07769,P47929,LEG7_HUMAN,,LGALS7,LGALS7,HGNC:6568,Human,DB02379; DB02678
P99999,Cytochrome c,CYCS,181242,M22877,P99999,CYC_HUMAN,,CYCS,CYCS,HGNC:19986,Human,DB01017; DB02110; DB03317; DB03934; DB03977; DB04249
P08311,Cathepsin G,CTSG,181182,M16117,P08311,CATG_HUMAN,,CTSG,CTSG,HGNC:2532,Human,DB02360; DB04016
P27824,Calnexin,CANX,186523,L10284,P27824,CALX_HUMAN,,CANX,CANX,HGNC:1473,Human,DB00025; DB00031
P13945,Beta-3 adrenergic receptor,ADRB3,178896,M29932,P13945,ADRB3_HUMAN,,ADRB3,ADRB3,HGNC:288,Human,DB00368; DB00571; DB00668; DB01064; DB01102; DB01288; DB01363; DB01407; DB05395; DB06262; DB08807; DB08808; DB08893
P62937,Peptidyl-prolyl cis-trans isomerase A,PPIA,30309,Y00052,P62937,PPIA_HUMAN,,PPIA,PPIA,HGNC:9253,Human,DB00091; DB00172; DB01742; DB02419; DB03393
P09038,Fibroblast growth factor 2,FGF2,31362,X04431,P09038,FGF2_HUMAN,,FGF2,FGF2,HGNC:3676,Human,DB00364; DB00686; DB00877; DB03935; DB03959; DB03981; DB05434
Q13464,Rho-associated protein kinase 1,ROCK1,1276901,U43195,Q13464,ROCK1_HUMAN,,ROCK1,ROCK1,HGNC:10251,Human,DB04707; DB07876; DB08162; DB08756
Q16539,Mitogen-activated protein kinase 14,MAPK14,603917,L35263,Q16539,MK14_HUMAN,,MAPK14,MAPK14,HGNC:6876,Human,DB01761; DB01807; DB01948; DB01953; DB01988; DB02195; DB02277; DB02352; DB02873; DB02984; DB03044; DB03110; DB03980; DB04338; DB04632; DB04797; DB05157; DB05412; DB05470; DB06882; DB06940; DB06991; DB07138; DB07307; DB07459; DB07607; DB07811; DB07829; DB07832; DB07833; DB07834; DB07835; DB07941; DB07942; DB07943; DB08064; DB08068; DB08091; DB08092; DB08093; DB08095; DB08096; DB08097; DB08242; DB08349; DB08351; DB08352; DB08395; DB08423; DB08424; DB08521; DB08522; DB08730
O43923,Metalloproteinase,mmp20,2808657,AJ003147,O43923,O43923_HUMAN,,mmp20,mmp20,HGNC:14246,Human,DB01039
P03951,Coagulation factor XI,F11,182833,M13142,P03951,FA11_HUMAN,,F11,F11,HGNC:3529,Human,DB00100; DB07022; DB07023; DB07071; DB07074; DB07077; DB07212; DB07299; DB07887
Q8NER1,Transient receptor potential cation channel subfamily V member 1,TRPV1,8977866,AJ277028,Q8NER1,TRPV1_HUMAN,,TRPV1,TRPV1,HGNC:12716,Human,DB00132; DB00159; DB00168
P63316,"Troponin C, slow skeletal and cardiac muscles",TNNC1,37208,X07897,P63316,TNNC1_HUMAN,,TNNC1,TNNC1,HGNC:11943,Human,DB00831; DB00922; DB01023; DB01244; DB01373; DB01375; DB03944; DB04513
P07359,Platelet glycoprotein Ib alpha chain,GP1BA,306793,J02940,P07359,GP1BA_HUMAN,,GP1BA,GP1BA,HGNC:4439,Human,DB05202; DB05391
P06850,Corticoliberin,CRH,35356,V00571,P06850,CRF_HUMAN,,CRH,CRH,HGNC:2355,Human,DB01285; DB02556; DB02952
P24385,G1/S-specific cyclin-D1,CCND1,35632,X59798,P24385,CCND1_HUMAN,,CCND1,CCND1,HGNC:1582,Human,DB01169
P48549,G protein-activated inward rectifier potassium channel 1,KCNJ3,1055028,U39196,P48549,IRK3_HUMAN,,KCNJ3,KCNJ3,HGNC:6264,Human,DB01159
P60568,Interleukin-2,IL2,5729676,J00264,P60568,IL2_HUMAN,,IL2,IL2,HGNC:6001,Human,DB00852; DB02555; DB02581; DB03372; DB03453; DB03455; DB03957; DB04278; DB05299; DB05304
P48051,G protein-activated inward rectifier potassium channel 2,KCNJ6,1052875,U24660,P48051,IRK6_HUMAN,,KCNJ6,KCNJ6,HGNC:6267,Human,DB01159
P98160,Basement membrane-specific heparan sulfate proteoglycan core protein,HSPG2,29470,X62515,P98160,PGBM_HUMAN,,HSPG2,HSPG2,HGNC:5273,Human,DB00039
P08183,Multidrug resistance protein 1,ABCB1,307180,M14758,P08183,MDR1_HUMAN,,ABCB1,ABCB1,HGNC:40,Human,DB00171; DB00778; DB04877; DB04881; DB04905; DB05449
P22830,"Ferrochelatase, mitochondrial",FECH,219656,D00726,P22830,HEMH_HUMAN,,FECH,FECH,HGNC:3647,Human,DB02659
Q02817,Mucin-2,MUC2,454154,L21998,Q02817,MUC2_HUMAN,,MUC2,MUC2,HGNC:7512,Human,DB01411
P21980,Protein-glutamine gamma-glutamyltransferase 2,TGM2,339521,M55153,P21980,TGM2_HUMAN,,TGM2,TGM2,HGNC:11778,Human,DB04315
P26951,Interleukin-3 receptor subunit alpha,IL3RA,186331,M74782,P26951,IL3RA_HUMAN,,IL3RA,IL3RA,HGNC:6012,Human,DB00020
P23946,Chymase,CMA1,180542,M64269,P23946,CMA1_HUMAN,,CMA1,CMA1,HGNC:2097,Human,DB03149; DB03297; DB03814; DB04016; DB07680
P04629,High affinity nerve growth factor receptor,NTRK1,339918,M23102,P04629,NTRK1_HUMAN,,NTRK1,NTRK1,HGNC:8031,Human,DB00321; DB00619; DB08896
P05412,Transcription factor AP-1,JUN,386839,J04111,P05412,JUN_HUMAN,,JUN,JUN,HGNC:6204,Human,DB00570; DB01029; DB01169; DB05785
P05107,Integrin beta-2,ITGB2,307113,M15395,P05107,ITB2_HUMAN,,ITGB2,ITGB2,HGNC:6155,Human,DB00641
O94956,Solute carrier organic anion transporter family member 2B1,SLCO2B1,5006263,AB026256,O94956,SO2B1_HUMAN,,SLCO2B1,SLCO2B1,HGNC:10962,Human,DB01049
P04275,von Willebrand factor,VWF,37947,X04385,P04275,VWF_HUMAN,,VWF,VWF,HGNC:12726,Human,DB00025; DB05202
Q96RJ0,Trace amine-associated receptor 1,TAAR1,14600074,AF380185,Q96RJ0,TAAR1_HUMAN,,TAAR1,TAAR1,HGNC:17734,Human,DB00182; DB01576; DB01577; DB06714
P11168,"Solute carrier family 2, facilitated glucose transporter member 2",SLC2A2,307125,J03810,P11168,GTR2_HUMAN,,SLC2A2,SLC2A2,HGNC:11006,Human,DB00428
P15502,Elastin,ELN,182021,M17282,P15502,ELN_HUMAN,,ELN,ELN,HGNC:3327,Human,DB00533
P13500,C-C motif chemokine 2,CCL2,307163,M24545,P13500,CCL2_HUMAN,,CCL2,CCL2,HGNC:10618,Human,DB01055; DB01406
